pid,lat,lon,coords,points
4242886918,53.3795,-6.59904,POINT (-6.59904 53.3795),POINT (-6.59904 53.3795)
4238736400,53.3795,-6.59904,POINT (-6.59904 53.3795),POINT (-6.59904 53.3795)
4323838350,53.3763,-6.54141,POINT (-6.54141 53.3763),POINT (-6.54141 53.3763)
4291986698,53.3778,-6.55627,POINT (-6.55627 53.3778),POINT (-6.55627 53.3778)
4293597783,53.3778,-6.55627,POINT (-6.55627 53.3778),POINT (-6.55627 53.3778)
4329104220,53.3693,-6.5089,POINT (-6.5089 53.3693),POINT (-6.5089 53.3693)
4259570851,53.3693,-6.5089,POINT (-6.5089 53.3693),POINT (-6.5089 53.3693)
4328495469,53.3693,-6.5089,POINT (-6.5089 53.3693),POINT (-6.5089 53.3693)
4304563489,53.3693,-6.5089,POINT (-6.5089 53.3693),POINT (-6.5089 53.3693)
4328453491,53.3693,-6.5089,POINT (-6.5089 53.3693),POINT (-6.5089 53.3693)
4305350882,53.3693,-6.5089,POINT (-6.5089 53.3693),POINT (-6.5089 53.3693)
4320914094,53.3697,-6.52115,POINT (-6.52115 53.3697),POINT (-6.52115 53.3697)
4254663951,53.3851,-6.55952,POINT (-6.55952 53.3851),POINT (-6.55952 53.3851)
4259634435,53.3701,-6.52071,POINT (-6.52071 53.3701),POINT (-6.52071 53.3701)
4260468350,53.3701,-6.52071,POINT (-6.52071 53.3701),POINT (-6.52071 53.3701)
4333754084,53.3701,-6.52071,POINT (-6.52071 53.3701),POINT (-6.52071 53.3701)
4273686033,54.7674,-1.57314,POINT (-1.57314 54.7674),POINT (-1.57314 54.7674)
4316004665,56.0398,-3.34208,POINT (-3.34208 56.0398),POINT (-3.34208 56.0398)
4345268149,52.6854,-1.83184,POINT (-1.83184 52.6854),POINT (-1.83184 52.6854)
4269524664,53.8004,-1.5725,POINT (-1.5725 53.8004),POINT (-1.5725 53.8004)
4248480986,53.8108,-1.57232,POINT (-1.57232 53.8108),POINT (-1.57232 53.8108)
4248467796,53.8093,-1.56023,POINT (-1.56023 53.8093),POINT (-1.56023 53.8093)
4378666654,53.8124,-1.56908,POINT (-1.56908 53.8124),POINT (-1.56908 53.8124)
4315129551,51.6215,-3.94931,POINT (-3.94931 51.6215),POINT (-3.94931 51.6215)
4375624720,53.8108,-1.57158,POINT (-1.57158 53.8108),POINT (-1.57158 53.8108)
4283951041,53.7754,-1.86456,POINT (-1.86456 53.7754),POINT (-1.86456 53.7754)
4389725765,53.8083,-1.55967,POINT (-1.55967 53.8083),POINT (-1.55967 53.8083)
4268767091,53.802,-1.57901,POINT (-1.57901 53.802),POINT (-1.57901 53.802)
4375789958,53.8062,-1.5542,POINT (-1.5542 53.8062),POINT (-1.5542 53.8062)
